id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254952109,79556696,16824,503208,31489.6,19726900,4681020,0.0625778,9.30237,9.2221,0.185694
254951487,79556696,16634,862299,85435.3,40205800,13867700,0.0990785,16.0823,16.0631,0.123534
254943664,79556696,292,314358,28205.7,12695400,4340910,0.0897247,13.8088,13.8072,0.501406
254947172,79556696,15663,413033,34198.2,15447500,4894530,0.0827975,11.8502,11.8602,0.185886
254954016,79556696,17463,629116,54191.5,24864000,8151850,0.086139,12.9576,12.8525,0.21935
254951851,79556696,16754,2152780,205980,101696000,31293100,0.0956809,14.5362,14.6748,0.326072
254952778,79556696,17018,314721,45270.2,18831900,7401320,0.143842,23.5171,23.5171,0.179553
254953929,79556696,17411,385841,43797.7,17636000,7015880,0.113512,18.1834,18.359,0.0901717
254943946,79556696,367,2377890,284390,129762000,42654800,0.119598,17.9381,17.9381,0.147502
254951547,79556696,16651,33805300,3608830,1852850000,556317000,0.106754,16.4565,16.3709,0.272179
254954028,79556696,17479,542911,66265.6,29225400,10353400,0.122056,19.0701,19.0994,0.406711
254944143,79556696,415,10721100,976529,483096000,172536000,0.0910852,16.0932,16.0788,0.377571
254946761,79556696,10699,1658750,150074,83232200,23272100,0.0904742,14.0299,14.0902,0.380573
254948192,79556696,15901,703709,85026.2,35546100,13040300,0.120826,18.5309,18.9774,0.281928
254949318,79556696,16157,236545,24749.7,11899200,3740170,0.10463,15.8117,15.8533,0.230767
254950510,79556696,16430,1655190,158795,76001600,23476800,0.0959377,14.1838,14.3248,0.191056
254951828,79556696,16741,348057,31617.5,14997800,5070460,0.0908398,14.5679,14.5554,0.312698
254953037,79556696,17110,421469,23560.8,12929200,3274740,0.0559016,7.76981,7.6269,0.294196
254944746,79556696,575,698018,75684.8,34469800,11727000,0.108428,16.8005,17.0315,0.135274
254946856,79556696,182305693,1393690,158956,74816100,27124900,0.114054,19.4626,19.7693,0.400041
254954200,79556696,111220828,34855.8,3574.88,1651890,546071,0.102562,15.6666,0,0
254951853,79556696,16755,11748.3,948.51,509538,144141,0.0807357,12.2691,0,0
254943468,79556696,241,2724470,228049,120737000,40618000,0.0837041,14.9086,15.4081,0.533491
254951461,79556696,16629,69938,8372.85,3710930,1372100,0.119718,19.6188,19.6188,0.0124929
254944846,79556696,630,2472640,314903,137709000,48728300,0.127355,19.707,19.832,0.287574
254950117,79556696,16298,274728,32324.7,13225900,5109810,0.117661,18.5995,17.5997,0.150075
254950198,79556696,16340,844638,84039.2,39154400,13124500,0.0994973,15.5387,15.7282,0.258645
254954212,79556696,111220872,189428,29121.1,11916600,4660440,0.153732,24.6027,24.3088,0.190411
254944090,79556696,395,5891990,584285,284028000,90738200,0.0991659,15.4003,15.4628,0.236193
254948644,79556696,15989,6509490,848894,338797000,136182000,0.130409,20.9206,20.9682,0.279936
254954207,79556696,111220852,2023840,198453,105810000,30243000,0.098058,14.9434,14.9497,0.211644
